utterance                                                                   , intent        , tokens                                                                                                                                                                 , token_ids
close this feature                                                          , close         , "['close', 'Ġthis', 'Ġfeature']"                                                                                                                                       , "[389, 346, 1270]"
cut this off                                                                , close         , "['cut', 'Ġthis', 'Ġoff']"                                                                                                                                             , "[1436, 346, 571]"
cease all operations                                                        , close         , "['cease', 'Ġall', 'Ġoperations']"                                                                                                                                     , "[4640, 739, 4138]"
shut it off                                                                 , close         , "['shut', 'Ġit', 'Ġoff']"                                                                                                                                              , "[598, 377, 571]"
close all of this                                                           , close         , "['close', 'Ġall', 'Ġof', 'Ġthis']"                                                                                                                                    , "[389, 739, 310, 346]"
call it quits                                                               , close         , "['call', 'Ġit', 'Ġquit']"                                                                                                                                             , "[2263, 377, 3019]"
stop and exit                                                               , close         , "['stop', 'Ġand', 'Ġexit']"                                                                                                                                            , "[1094, 431, 1847]"
fold up the app                                                             , close         , "['fold', 'Ġup', 'Ġthe', 'Ġapp']"                                                                                                                                      , "[2803, 325, 269, 407]"
put this to bed                                                             , close         , "['put', 'Ġthis', 'Ġto', 'Ġbed']"                                                                                                                                      , "[635, 346, 282, 1828]"
shutter the window                                                          , close         , "['shutter', 'Ġthe', 'Ġwindow']"                                                                                                                                       , "[3916, 269, 577]"
close the work                                                              , close         , "['close', 'Ġthe', 'Ġwork']"                                                                                                                                           , "[389, 269, 591]"
kill the process now                                                        , close         , "['kill', 'Ġthe', 'Ġprocess', 'Ġnow']"                                                                                                                                 , "[1006, 269, 1275, 490]"
wrap this app up                                                            , close         , "['wrap', 'Ġthis', 'Ġapp', 'Ġup']"                                                                                                                                     , "[1112, 346, 407, 325]"
please end it                                                               , close         , "['please', 'Ġend', 'Ġit']"                                                                                                                                            , "[504, 1355, 377]"
end my session                                                              , close         , "['end', 'Ġmy', 'Ġsession']"                                                                                                                                           , "[421, 345, 588]"
close the program now                                                       , close         , "['close', 'Ġthe', 'Ġprogram', 'Ġnow']"                                                                                                                                , "[389, 269, 1004, 490]"
let’s wrap this up                                                          , close         , "['let', 'Ġus', 'Ġwrap', 'Ġthis', 'Ġup']"                                                                                                                              , "[580, 535, 2665, 346, 325]"
kill the software                                                           , close         , "['kill', 'Ġthe', 'Ġsoftware']"                                                                                                                                        , "[1006, 269, 1383]"
shut the service                                                            , close         , "['shut', 'Ġthe', 'Ġservice']"                                                                                                                                         , "[598, 269, 1465]"
end the workflow                                                            , close         , "['end', 'Ġthe', 'Ġworkflow']"                                                                                                                                         , "[421, 269, 3914]"
stop this application                                                       , close         , "['stop', 'Ġthis', 'Ġapplication']"                                                                                                                                    , "[1094, 346, 1210]"
cut power to this                                                           , close         , "['cut', 'Ġpower', 'Ġto', 'Ġthis']"                                                                                                                                    , "[1436, 888, 282, 346]"
shut down this tab                                                          , close         , "['shutdown', 'Ġthis', 'Ġtab']"                                                                                                                                        , "[1019, 346, 956]"
cease this service                                                          , close         , "['cease', 'Ġthis', 'Ġservice']"                                                                                                                                       , "[4640, 346, 1465]"
close the module                                                            , close         , "['close', 'Ġthe', 'Ġmodule']"                                                                                                                                         , "[389, 269, 5227]"
end this feature                                                            , close         , "['end', 'Ġthis', 'Ġfeature']"                                                                                                                                         , "[421, 346, 1270]"
kill off the window                                                         , close         , "['kill', 'Ġoff', 'Ġthe', 'Ġwindow']"                                                                                                                                  , "[1006, 571, 269, 577]"
close the pipeline                                                          , close         , "['close', 'Ġthe', 'Ġp', 'ip', 'eline']"                                                                                                                               , "[389, 269, 278, 513, 4729]"
wrap up the session                                                         , close         , "['wrap', 'Ġup', 'Ġthe', 'Ġsession']"                                                                                                                                  , "[1112, 325, 269, 588]"
shut shop                                                                   , close         , "['shut', 'Ġshop']"                                                                                                                                                    , "[598, 1619]"
terminate the service                                                       , close         , "['terminate', 'Ġthe', 'Ġservice']"                                                                                                                                    , "[1245, 269, 1465]"
end the interface                                                           , close         , "['end', 'Ġthe', 'Ġinterface']"                                                                                                                                        , "[421, 269, 1132]"
halt this app                                                               , close         , "['halt', 'Ġthis', 'Ġapp']"                                                                                                                                            , "[2268, 346, 407]"
end the process                                                             , close         , "['end', 'Ġthe', 'Ġprocess']"                                                                                                                                          , "[421, 269, 1275]"
pull the plug here                                                          , close         , "['pull', 'Ġthe', 'Ġplug', 'Ġhere']"                                                                                                                                   , "[898, 269, 1964, 1507]"
close this module                                                           , close         , "['close', 'Ġthis', 'Ġmodule']"                                                                                                                                        , "[389, 346, 5227]"
stop the session                                                            , close         , "['stop', 'Ġthe', 'Ġsession']"                                                                                                                                         , "[1094, 269, 588]"
close the workflow                                                          , close         , "['close', 'Ġthe', 'Ġworkflow']"                                                                                                                                       , "[389, 269, 3914]"
end our session                                                             , close         , "['end', 'Ġour', 'Ġsession']"                                                                                                                                          , "[421, 778, 588]"
shut the UI                                                                 , close         , "['shut', 'Ġthe', 'Ġui']"                                                                                                                                              , "[598, 269, 2681]"
kill this interface                                                         , close         , "['kill', 'Ġthis', 'Ġinterface']"                                                                                                                                      , "[1006, 346, 1132]"
terminate the utility                                                       , close         , "['terminate', 'Ġthe', 'Ġutility']"                                                                                                                                    , "[1245, 269, 2828]"
exit the tool                                                               , close         , "['exit', 'Ġthe', 'Ġtool']"                                                                                                                                            , "[774, 269, 1235]"
wrap up this tool                                                           , close         , "['wrap', 'Ġup', 'Ġthis', 'Ġtool']"                                                                                                                                    , "[1112, 325, 346, 1235]"
shut off the software                                                       , close         , "['shutoff', 'Ġthe', 'Ġsoftware']"                                                                                                                                     , "[2739, 269, 1383]"
close out the app                                                           , close         , "['close', 'Ġout', 'Ġthe', 'Ġapp']"                                                                                                                                    , "[389, 458, 269, 407]"
kill the utility                                                            , close         , "['kill', 'Ġthe', 'Ġutility']"                                                                                                                                         , "[1006, 269, 2828]"
close this tool                                                             , close         , "['close', 'Ġthis', 'Ġtool']"                                                                                                                                          , "[389, 346, 1235]"
end the utility                                                             , close         , "['end', 'Ġthe', 'Ġutility']"                                                                                                                                          , "[421, 269, 2828]"
stop the tool                                                               , close         , "['stop', 'Ġthe', 'Ġtool']"                                                                                                                                            , "[1094, 269, 1235]"
terminate the UI                                                            , close         , "['terminate', 'Ġthe', 'Ġui']"                                                                                                                                         , "[1245, 269, 2681]"
shut down the plugin                                                        , close         , "['shutdown', 'Ġthe', 'Ġplugin']"                                                                                                                                      , "[1019, 269, 3521]"
close the addon                                                             , close         , "['close', 'Ġthe', 'Ġaddon']"                                                                                                                                          , "[389, 269, 3965]"
kill the plugin                                                             , close         , "['kill', 'Ġthe', 'Ġplugin']"                                                                                                                                          , "[1006, 269, 3521]"
end the addon                                                               , close         , "['end', 'Ġthe', 'Ġaddon']"                                                                                                                                            , "[421, 269, 3965]"
shut the plugin down                                                        , close         , "['shut', 'Ġthe', 'Ġplugin', 'Ġdown']"                                                                                                                                 , "[598, 269, 3521, 612]"
terminate the addon                                                         , close         , "['terminate', 'Ġthe', 'Ġaddon']"                                                                                                                                      , "[1245, 269, 3965]"
exit the plugin                                                             , close         , "['exit', 'Ġthe', 'Ġplugin']"                                                                                                                                          , "[774, 269, 3521]"
fold up this tool                                                           , close         , "['fold', 'Ġup', 'Ġthis', 'Ġtool']"                                                                                                                                    , "[2803, 325, 346, 1235]"
shut down service                                                           , close         , "['shutdown', 'Ġservice']"                                                                                                                                             , "[1019, 1465]"
close out this service                                                      , close         , "['close', 'Ġout', 'Ġthis', 'Ġservice']"                                                                                                                               , "[389, 458, 346, 1465]"
kill the service                                                            , close         , "['kill', 'Ġthe', 'Ġservice']"                                                                                                                                         , "[1006, 269, 1465]"
end the service                                                             , close         , "['end', 'Ġthe', 'Ġservice']"                                                                                                                                          , "[421, 269, 1465]"
stop this service                                                           , close         , "['stop', 'Ġthis', 'Ġservice']"                                                                                                                                        , "[1094, 346, 1465]"
terminate the feature                                                       , close         , "['terminate', 'Ġthe', 'Ġfeature']"                                                                                                                                    , "[1245, 269, 1270]"
shut this feature down                                                      , close         , "['shut', 'Ġthis', 'Ġfeature', 'Ġdown']"                                                                                                                               , "[598, 346, 1270, 612]"
exit the feature                                                            , close         , "['exit', 'Ġthe', 'Ġfeature']"                                                                                                                                         , "[774, 269, 1270]"
close this widget                                                           , close         , "['close', 'Ġthis', 'Ġwidget']"                                                                                                                                        , "[389, 346, 2402]"
kill the widget                                                             , close         , "['kill', 'Ġthe', 'Ġwidget']"                                                                                                                                          , "[1006, 269, 2402]"
end the widget                                                              , close         , "['end', 'Ġthe', 'Ġwidget']"                                                                                                                                           , "[421, 269, 2402]"
shut the widget                                                             , close         , "['shut', 'Ġthe', 'Ġwidget']"                                                                                                                                          , "[598, 269, 2402]"
terminate the widget                                                        , close         , "['terminate', 'Ġthe', 'Ġwidget']"                                                                                                                                     , "[1245, 269, 2402]"
stop the widget                                                             , close         , "['stop', 'Ġthe', 'Ġwidget']"                                                                                                                                          , "[1094, 269, 2402]"
get me out of this app                                                      , close         , "['get', 'Ġme', 'Ġout', 'Ġof', 'Ġthis', 'Ġapp']"                                                                                                                       , "[432, 283, 458, 310, 346, 407]"
kill the app                                                                , close         , "['kill', 'Ġthe', 'Ġapp']"                                                                                                                                             , "[1006, 269, 407]"
"I'm done here, shut it"                                                    , close         , "['i', 'Ġbe', 'Ġdo', 'Ġhere', 'Ġ,', 'Ġshut', 'Ġit']"                                                                                                                   , "[77, 297, 359, 1507, 399, 743, 377]"
quit this thing                                                             , close         , "['quit', 'Ġthis', 'Ġthing']"                                                                                                                                          , "[2710, 346, 868]"
close it all down                                                           , close         , "['close', 'Ġit', 'Ġall', 'Ġdown']"                                                                                                                                    , "[389, 377, 739, 612]"
exit right now                                                              , close         , "['exit', 'Ġright', 'Ġnow']"                                                                                                                                           , "[774, 772, 490]"
wrap this session                                                           , close         , "['wrap', 'Ġthis', 'Ġsession']"                                                                                                                                        , "[1112, 346, 588]"
yo just shut it down                                                        , close         , "['yo', 'Ġjust', 'Ġshut', 'Ġit', 'Ġdown']"                                                                                                                             , "[878, 920, 743, 377, 612]"
I'm bouncing off this                                                       , close         , "['i', 'Ġbe', 'Ġbounce', 'Ġoff', 'Ġthis']"                                                                                                                             , "[77, 297, 3264, 571, 346]"
"end the assistant, please"                                                 , close         , "['end', 'Ġthe', 'Ġassistant', 'Ġ,', 'Ġplease']"                                                                                                                       , "[421, 269, 1426, 399, 1740]"
close the app already                                                       , close         , "['close', 'Ġthe', 'Ġapp', 'Ġalready']"                                                                                                                                , "[389, 269, 407, 2728]"
stop everything and log out                                                 , close         , "['stop', 'Ġeverything', 'Ġand', 'Ġlogout']"                                                                                                                           , "[1094, 1104, 431, 3415]"
bye bye to this app                                                         , close         , "['bye', 'Ġbye', 'Ġto', 'Ġthis', 'Ġapp']"                                                                                                                              , "[4057, 4813, 282, 346, 407]"
halt this interface                                                         , close         , "['halt', 'Ġthis', 'Ġinterface']"                                                                                                                                      , "[2268, 346, 1132]"
log out and exit                                                            , close         , "['logout', 'Ġand', 'Ġexit']"                                                                                                                                          , "[2733, 431, 1847]"
shut everything off                                                         , close         , "['shut', 'Ġeverything', 'Ġoff']"                                                                                                                                      , "[598, 1104, 571]"
pull the plug on this app                                                   , close         , "['pull', 'Ġthe', 'Ġplug', 'Ġon', 'Ġthis', 'Ġapp']"                                                                                                                    , "[898, 269, 1964, 322, 346, 407]"
slam the brakes                                                             , close         , "['slam', 'Ġthe', 'Ġbrakes']"                                                                                                                                          , "[4114, 269, 4134]"
wrap the wires                                                              , close         , "['wrap', 'Ġthe', 'Ġwires']"                                                                                                                                           , "[1112, 269, 2827]"
create a logo                                                               , generate image, "['create', 'Ġa', 'Ġlogo']"                                                                                                                                            , "[447, 262, 933]"
draw me a space cat riding a rocket                                         , generate image, "['draw', 'Ġme', 'Ġa', 'Ġspace', 'Ġcat', 'Ġride', 'Ġa', 'Ġrocket']"                                                                                                    , "[615, 283, 262, 979, 1092, 2227, 262, 3947]"
visualize a neon cyberpunk street at night                                  , generate image, "['visualize', 'Ġa', 'Ġneon', 'Ġcyberpunk', 'Ġstreet', 'Ġat', 'Ġnight']"                                                                                               , "[2388, 262, 1775, 1578, 1316, 395, 844]"
show me how a medieval dragon would look                                    , generate image, "['show', 'Ġme', 'Ġhow', 'Ġa', 'Ġmedieval', 'Ġdragon', 'Ġwould', 'Ġlook']"                                                                                             , "[433, 283, 617, 262, 1888, 948, 596, 1059]"
generate an image of a haunted castle                                       , generate image, "['generate', 'Ġan', 'Ġimage', 'Ġof', 'Ġa', 'Ġhaunted', 'Ġcastle']"                                                                                                    , "[494, 316, 457, 310, 262, 2256, 1638]"
turn this idea into a picture: sunrise over alien mountains                 , generate image, "['turn', 'Ġthis', 'Ġidea', 'Ġinto', 'Ġa', 'Ġpicture', 'Ġ:', 'Ġsunrise', 'Ġover', 'Ġalien', 'Ġmountains']"                                                             , "[603, 346, 1572, 699, 262, 1287, 927, 1971, 695, 1342, 1632]"
render an ancient forest with glowing mushrooms                             , generate image, "['render', 'Ġan', 'Ġancient', 'Ġforest', 'Ġwith', 'Ġglow', 'Ġmushrooms']"                                                                                             , "[1114, 316, 1941, 984, 367, 1177, 4164]"
can you imagine a futuristic samurai in Tokyo?                              , generate image, "['can', 'Ġyou', 'Ġimagine', 'Ġa', 'Ġfuturistic', 'Ġsamurai', 'Ġin', 'Ġtokyo', 'Ġ?']"                                                                                  , "[383, 314, 4723, 262, 796, 2606, 311, 2667, 292]"
bring to life a pirate ship flying in the sky                               , generate image, "['bring', 'Ġto', 'Ġlife', 'Ġa', 'Ġpirate', 'Ġship', 'Ġfly', 'Ġin', 'Ġthe', 'Ġsky']"                                                                                   , "[663, 282, 1407, 262, 2595, 2067, 972, 311, 269, 1046]"
I want a picture of a robot drinking tea                                    , generate image, "['i', 'Ġwant', 'Ġa', 'Ġpicture', 'Ġof', 'Ġa', 'Ġrobot', 'Ġdrink', 'Ġtea']"                                                                                            , "[77, 869, 262, 1287, 310, 262, 980, 2242, 2068]"
show a fantasy map with dragons and kingdoms                                , generate image, "['show', 'Ġa', 'Ġfantasy', 'Ġmap', 'Ġwith', 'Ġdragons', 'Ġand', 'Ġkingdom', 's']"                                                                                     , "[433, 262, 950, 2026, 367, 3967, 431, 4143, 87]"
give me a sketch of a warrior elf in armor                                  , generate image, "['give', 'Ġme', 'Ġa', 'Ġsketch', 'Ġof', 'Ġa', 'Ġwarrior', 'Ġe', 'lf', 'Ġin', 'Ġarmor']"                                                                               , "[489, 283, 262, 1154, 310, 262, 2384, 330, 1725, 311, 2502]"
show what a dinosaur on a skateboard would look like                        , generate image, "['show', 'Ġwhat', 'Ġa', 'Ġdinosaur', 'Ġon', 'Ġa', 'Ġskateboard', 'Ġwould', 'Ġlook', 'Ġlike']"                                                                         , "[433, 669, 262, 5217, 322, 262, 3418, 596, 1059, 529]"
turn my dream into an illustration: floating islands                        , generate image, "['turn', 'Ġmy', 'Ġdream', 'Ġinto', 'Ġan', 'Ġillustration', 'Ġ:', 'Ġfloat', 'Ġislands']"                                                                               , "[603, 345, 974, 699, 316, 1022, 927, 1023, 2815]"
draw a scene of a post-apocalyptic city                                     , generate image, "['draw', 'Ġa', 'Ġscene', 'Ġof', 'Ġa', 'Ġpost', 'Ġ-', 'Ġapocalyptic', 'Ġcity']"                                                                                        , "[615, 262, 697, 310, 262, 662, 344, 3147, 716]"
let me see a crystal cave glowing inside                                    , generate image, "['let', 'Ġme', 'Ġsee', 'Ġa', 'Ġcrystal', 'Ġcave', 'Ġglow', 'Ġinside']"                                                                                                , "[580, 283, 1444, 262, 2109, 2650, 1177, 3794]"
paint a golden retriever in astronaut gear                                  , generate image, "['paint', 'Ġa', 'Ġgolden', 'Ġret', 'ri', 'ever', 'Ġin', 'Ġastronaut', 'Ġgear']"                                                                                       , "[853, 262, 5171, 1551, 375, 2866, 311, 3578, 4612]"
design an underwater castle with mermaids                                   , generate image, "['design', 'Ġan', 'Ġunderwater', 'Ġcastle', 'Ġwith', 'Ġmerma', 'ids']"                                                                                                , "[576, 316, 1630, 1638, 367, 4181, 1697]"
can you build a picture of a desert oasis at night?                         , generate image, "['can', 'Ġyou', 'Ġbuild', 'Ġa', 'Ġpicture', 'Ġof', 'Ġa', 'Ġdesert', 'Ġoasis', 'Ġat', 'Ġnight', 'Ġ?']"                                                                 , "[383, 314, 1574, 262, 1287, 310, 262, 1625, 5360, 395, 844, 292]"
snap a fake photo of aliens landing in New York                             , generate image, "['snap', 'Ġa', 'Ġfake', 'Ġphoto', 'Ġof', 'Ġaliens', 'Ġland', 'Ġin', 'Ġnew', 'Ġyork']"                                                                                 , "[2394, 262, 1597, 2366, 310, 3079, 820, 311, 545, 4555]"
give me visuals for a sci-fi control room                                   , generate image, "['give', 'Ġme', 'Ġvisuals', 'Ġfor', 'Ġa', 'Ġsci', 'Ġ-', 'Ġfi', 'Ġcontrol', 'Ġroom']"                                                                                  , "[489, 283, 4032, 298, 262, 1126, 344, 547, 1699, 1457]"
craft an image of a ninja turtle meditating                                 , generate image, "['craft', 'Ġan', 'Ġimage', 'Ġof', 'Ġa', 'Ġninja', 'Ġturtle', 'Ġmedit', 'ating']"                                                                                      , "[1583, 316, 457, 310, 262, 4562, 4129, 942, 3723]"
let’s see a city powered by magic                                           , generate image, "['let', 'Ġus', 'Ġsee', 'Ġa', 'Ġcity', 'Ġpower', 'Ġby', 'Ġmagic']"                                                                                                     , "[580, 535, 1444, 262, 716, 888, 724, 1986]"
draft me a wizard casting fire from his hands                               , generate image, "['draft', 'Ġme', 'Ġa', 'Ġwizard', 'Ġcast', 'Ġfire', 'Ġfrom', 'Ġh', 'is', 'Ġhand', 's']"                                                                               , "[1291, 283, 262, 2122, 1359, 1565, 514, 307, 302, 1680, 87]"
whip up a dreamy cottage in the forest                                      , generate image, "['whip', 'Ġup', 'Ġa', 'Ġdreamy', 'Ġcottage', 'Ġin', 'Ġthe', 'Ġforest']"                                                                                               , "[2189, 325, 262, 2769, 4212, 311, 269, 984]"
throw together a landscape of mars with colonies                            , generate image, "['throw', 'Ġtogether', 'Ġa', 'Ġlandscape', 'Ġof', 'Ġmars', 'Ġwith', 'Ġcol', 'on', 'ies']"                                                                             , "[1499, 2597, 262, 1133, 310, 2644, 367, 1248, 271, 560]"
paint a surreal world of melting clocks                                     , generate image, "['paint', 'Ġa', 'Ġsurreal', 'Ġworld', 'Ġof', 'Ġmelting', 'Ġclocks']"                                                                                                  , "[853, 262, 1260, 949, 310, 3132, 3106]"
conjure a ghost ship at sea under the moonlight                             , generate image, "['con', 'j', 'ure', 'Ġa', 'Ġghost', 'Ġship', 'Ġat', 'Ġsea', 'Ġunder', 'Ġthe', 'Ġmoonlight']"                                                                          , "[1085, 78, 497, 262, 2312, 2067, 395, 2330, 834, 269, 4037]"
whip up a sketch of a demon with wings                                      , generate image, "['whip', 'Ġup', 'Ġa', 'Ġsketch', 'Ġof', 'Ġa', 'Ġdemon', 'Ġwith', 'Ġwings']"                                                                                           , "[2189, 325, 262, 1154, 310, 262, 5263, 367, 2666]"
imagine a jellyfish flying through the clouds                               , generate image, "['imagine', 'Ġa', 'Ġjellyfish', 'Ġfly', 'Ġthrough', 'Ġthe', 'Ġclouds']"                                                                                               , "[2255, 262, 5246, 972, 1168, 269, 2237]"
pull off a portrait of a cyborg samurai                                     , generate image, "['pull', 'Ġoff', 'Ġa', 'Ġportrait', 'Ġof', 'Ġa', 'Ġcy', 'bor', 'g', 'Ġsamurai']"                                                                                      , "[898, 571, 262, 985, 310, 262, 1054, 2855, 75, 2606]"
draw a witch’s room full of glowing potions                                 , generate image, "['draw', 'Ġa', 'Ġwitch', 'ĠâĢĻ', 's', 'Ġroom', 'Ġfull', 'Ġof', 'Ġglow', 'Ġpot', 'ions']"                                                                              , "[615, 262, 2981, 1029, 87, 1457, 1325, 310, 1177, 2927, 771]"
get me an image of an owl in a hoodie                                       , generate image, "['get', 'Ġme', 'Ġan', 'Ġimage', 'Ġof', 'Ġan', 'Ġowl', 'Ġin', 'Ġa', 'Ġhoodie']"                                                                                        , "[432, 283, 316, 457, 310, 316, 3687, 311, 262, 4220]"
help me picture a crystal ball showing the future                           , generate image, "['help', 'Ġme', 'Ġpicture', 'Ġa', 'Ġcrystal', 'Ġball', 'Ġshow', 'Ġthe', 'Ġfuture']"                                                                                   , "[1350, 283, 1287, 262, 2109, 1669, 1051, 269, 2219]"
I want something like a fairy chilling in a garden                          , generate image, "['i', 'Ġwant', 'Ġsomething', 'Ġlike', 'Ġa', 'Ġfairy', 'Ġchill', 'Ġin', 'Ġa', 'Ġgarden']"                                                                              , "[77, 869, 620, 529, 262, 4018, 823, 311, 262, 1218]"
mock up a futuristic racing bike                                            , generate image, "['mock', 'Ġup', 'Ġa', 'Ġfuturistic', 'Ġracing', 'Ġbike']"                                                                                                             , "[2781, 325, 262, 796, 4011, 3063]"
make a digital art piece of dragons clashing                                , generate image, "['make', 'Ġa', 'Ġdigital', 'Ġart', 'Ġpiece', 'Ġof', 'Ġdragons', 'Ġcl', 'ash']"                                                                                        , "[521, 262, 578, 483, 1343, 310, 3967, 562, 764]"
let me see a steampunk airship flying over London                           , generate image, "['let', 'Ġme', 'Ġsee', 'Ġa', 'Ġsteampunk', 'Ġairship', 'Ġfly', 'Ġover', 'Ġlondon']"                                                                                   , "[580, 283, 1444, 262, 1713, 2767, 972, 695, 4137]"
sketch me a lava golem walking through fire                                 , generate image, "['sketch', 'Ġme', 'Ġa', 'Ġlava', 'Ġgo', 'le', 'm', 'Ġwalk', 'Ġthrough', 'Ġfire']"                                                                                     , "[1188, 283, 262, 3769, 763, 289, 81, 1056, 1168, 1565]"
"transform this vibe into an image: rainy rooftop, neon lights"             , generate image, "['trans', 'form', 'Ġthis', 'Ġvibe', 'Ġinto', 'Ġan', 'Ġimage', 'Ġ:', 'Ġrainy', 'Ġrooftop', 'Ġ,', 'Ġneon', 'Ġlights']"                                                  , "[4923, 775, 346, 1122, 699, 316, 457, 927, 2785, 5384, 399, 1775, 1778]"
build a picture of time travelers in ancient Egypt                          , generate image, "['build', 'Ġa', 'Ġpicture', 'Ġof', 'Ġtime', 'Ġtravelers', 'Ġin', 'Ġancient', 'Ġegypt']"                                                                               , "[1780, 262, 1287, 310, 429, 3940, 311, 1941, 4224]"
illustrate an angel with mechanical wings                                   , generate image, "['illustrate', 'Ġan', 'Ġange', 'l', 'Ġwith', 'Ġmechanical', 'Ġwings']"                                                                                                , "[765, 316, 4596, 80, 367, 5214, 2666]"
paint a peaceful beach with glowing water                                   , generate image, "['paint', 'Ġa', 'Ġpeaceful', 'Ġbeach', 'Ġwith', 'Ġglow', 'Ġwater']"                                                                                                   , "[853, 262, 1219, 1609, 367, 1177, 694]"
come up with a concept art of deep sea aliens                               , generate image, "['come', 'Ġup', 'Ġwith', 'Ġa', 'Ġconcept', 'Ġart', 'Ġof', 'Ġdeep', 'Ġsea', 'Ġaliens']"                                                                                , "[1720, 325, 367, 262, 1760, 483, 310, 1606, 2330, 3079]"
construct a haunted tree with faces in its bark                             , generate image, "['construct', 'Ġa', 'Ġhaunted', 'Ġtree', 'Ġwith', 'Ġfaces', 'Ġin', 'Ġits', 'Ġb', 'ark']"                                                                              , "[3466, 262, 2256, 1509, 367, 4451, 311, 2987, 277, 681]"
design an anime-style girl with silver hair and floating runes              , generate image, "['design', 'Ġan', 'Ġanime', 'Ġ-', 'Ġstyle', 'Ġgirl', 'Ġwith', 'Ġsil', 'ver', 'Ġhair', 'Ġand', 'Ġfloat', 'Ġrunes']"                                                    , "[576, 316, 1940, 344, 901, 5221, 367, 1538, 369, 3536, 431, 1023, 4690]"
render a desert with cyber temples                                          , generate image, "['render', 'Ġa', 'Ġdesert', 'Ġwith', 'Ġcyber', 'Ġtemp', 'les']"                                                                                                       , "[1114, 262, 1625, 367, 1381, 1705, 731]"
turn my words into art: a cat made of stars                                 , generate image, "['turn', 'Ġmy', 'Ġwords', 'Ġinto', 'Ġart', 'Ġ:', 'Ġa', 'Ġcat', 'Ġmake', 'Ġof', 'Ġstars']"                                                                             , "[603, 345, 2098, 699, 483, 927, 262, 1092, 589, 310, 1753]"
let me see a king’s throne room made of ice                                 , generate image, "['let', 'Ġme', 'Ġsee', 'Ġa', 'Ġking', 'ĠâĢĻ', 's', 'Ġthrone', 'Ġroom', 'Ġmake', 'Ġof', 'Ġice']"                                                                       , "[580, 283, 1444, 262, 2725, 1029, 87, 3704, 1457, 589, 310, 2140]"
create artwork of a panda eating ramen under cherry blossoms                , generate image, "['create', 'Ġartwork', 'Ġof', 'Ġa', 'Ġpanda', 'Ġeat', 'Ġramen', 'Ġunder', 'Ġch', 'er', 'ry', 'Ġblo', 'ss', 'oms']"                                                    , "[447, 981, 310, 262, 5348, 1945, 5148, 834, 355, 270, 599, 2656, 553, 3341]"
generate a logo featuring a fox wrapped in flames                           , generate image, "['generate', 'Ġa', 'Ġlogo', 'Ġfeature', 'Ġa', 'Ġfox', 'Ġwrap', 'Ġin', 'Ġfl', 'ames']"                                                                                 , "[494, 262, 933, 1270, 262, 3439, 2665, 311, 1198, 4675]"
give me an AI-generated concept of a moon base                              , generate image, "['give', 'Ġme', 'Ġan', 'Ġai', 'Ġ-', 'Ġgenerate', 'Ġconcept', 'Ġof', 'Ġa', 'Ġmoon', 'Ġbase']"                                                                          , "[489, 283, 316, 671, 344, 1943, 1760, 310, 262, 1500, 2453]"
come up with a fake comic book cover starring me                            , generate image, "['come', 'Ġup', 'Ġwith', 'Ġa', 'Ġfake', 'Ġcomic', 'Ġbook', 'Ġcover', 'Ġstar', 'Ġme']"                                                                                 , "[1720, 325, 367, 262, 1597, 2078, 725, 2204, 2693, 283]"
get visuals of a hacker breaking into the matrix                            , generate image, "['get', 'Ġvisuals', 'Ġof', 'Ġa', 'Ġhacker', 'Ġbreak', 'Ġinto', 'Ġthe', 'Ġmat', 'ri', 'x']"                                                                            , "[432, 4032, 310, 262, 4221, 947, 699, 269, 3711, 375, 92]"
"invent a creature that’s part dragon, part wolf"                           , generate image, "['invent', 'Ġa', 'Ġcreature', 'Ġthat', 'Ġbe', 'Ġpart', 'Ġdragon', 'Ġ,', 'Ġpart', 'Ġwolf']"                                                                            , "[2433, 262, 2337, 393, 297, 1037, 948, 399, 1037, 4216]"
draw up a digital poster for a fake movie called “Skyfallers”               , generate image, "['draw', 'Ġup', 'Ġa', 'Ġdigital', 'Ġposter', 'Ġfor', 'Ġa', 'Ġfake', 'Ġmovie', 'Ġcall', 'ĠâĢľ', 'Ġsky', 'fall', 'ers', 'ĠâĢĿ']"                                        , "[615, 325, 262, 578, 1284, 298, 262, 1597, 1002, 563, 665, 1046, 2126, 470, 666]"
design a fantasy castle sitting on clouds                                   , generate image, "['design', 'Ġa', 'Ġfantasy', 'Ġcastle', 'Ġsit', 'Ġon', 'Ġclouds']"                                                                                                    , "[576, 262, 950, 1638, 2148, 322, 2237]"
draw me an enchanted door in a stone wall                                   , generate image, "['draw', 'Ġme', 'Ġan', 'Ġenchant', 'Ġdoor', 'Ġin', 'Ġa', 'Ġst', 'one', 'Ġwall']"                                                                                      , "[615, 283, 316, 2757, 3344, 311, 262, 332, 693, 2167]"
